question_id,option_id,option_label,is_missing
2026-049_a_1,1,Excellent,false
2026-049_a_1,2,Very good,false
2026-049_a_1,3,Good,false
2026-049_a_1,4,Fair,false
2026-049_a_1,5,Poor,false
2026-049_a_10,1,"Personal health behaviors (e.g. diet, exercise, sleep, substance use, stress management)",false
2026-049_a_10,2,Access to healthcare,false
2026-049_a_10,3,Financial stability,false
2026-049_a_10,4,Social relationships and support,false
2026-049_a_10,5,"Physical environment (e.g., housing, neighborhood safety, etc.)",false
2026-049_a_10,6,Work or job conditions,false
2026-049_a_10,7,Other,false
2026-049_a_11,1,"No, and I do not intend to start regular physical activity in the next 6 months.",false
2026-049_a_11,2,"No, but I intend to start regular physical activity in the next 6 months.",false
2026-049_a_11,3,"No, but I intend to start regular physical activity in the next 30 days.",false
2026-049_a_11,4,"Yes, I have been, but for less than 6 months.",false
2026-049_a_11,5,"Yes, I have been for more than 6 months.",false
2026-049_a_12,1,0 Days,false
2026-049_a_12,2,1 Day,false
2026-049_a_12,3,2 Days,false
2026-049_a_12,4,3 Days,false
2026-049_a_12,5,4 Days,false
2026-049_a_12,6,5 Days,false
2026-049_a_12,7,6 Days,false
2026-049_a_12,8,7 Days,false
2026-049_a_13,1,Yes,false
2026-049_a_13,2,No,false
2026-049_a_13,3,I don't know,false
2026-049_a_14,1,1- Poor,false
2026-049_a_14,2,2,false
2026-049_a_14,3,3,false
2026-049_a_14,4,4,false
2026-049_a_14,5,5- Great,false
2026-049_a_15,1,1- Strongly disagree,false
2026-049_a_15,2,2- Disagree,false
2026-049_a_15,3,3- Neither agree nor disagree,false
2026-049_a_15,4,4- Agree,false
2026-049_a_15,5,5- Strongly agree,false
2026-049_a_16,1,Never,false
2026-049_a_16,2,Rarely,false
2026-049_a_16,3,Sometimes,false
2026-049_a_16,4,Often,false
2026-049_a_16,5,Always,false
2026-049_a_17,1,Lose weight,false
2026-049_a_17,2,Maintain your weight,false
2026-049_a_17,3,Gain weight,false
2026-049_a_17,4,Not pay attention to your weight,false
2026-049_a_18,1,Not at all,false
2026-049_a_18,2,Slightly,false
2026-049_a_18,3,Moderately,false
2026-049_a_18,4,A lot,false
2026-049_a_18,5,Extremely,false
2026-049_a_18,6,I'm not sure,false
2026-049_a_19,1,0 nights per week,false
2026-049_a_19,2,Less than one night per week,false
2026-049_a_19,3,1-3 nights per week,false
2026-049_a_19,4,4-6 nights per week,false
2026-049_a_19,5,7 nights per week,false
2026-049_a_2,1,Excellent,false
2026-049_a_2,2,Very good,false
2026-049_a_2,3,Good,false
2026-049_a_2,4,Fair,false
2026-049_a_2,5,Poor,false
2026-049_a_20,1,"Yes, definitely.",false
2026-049_a_20,2,"Yes, sometimes.",false
2026-049_a_20,3,"No, not really.",false
2026-049_a_21,1,"Yes, in the past week",false
2026-049_a_21,2,"Yes, in the past month",false
2026-049_a_21,3,"Yes, in the past 12 months, but more than a month ago",false
2026-049_a_21,4,"No, not in the past 12 months",false
2026-049_a_22,1,Never,false
2026-049_a_22,2,Rarely,false
2026-049_a_22,3,Sometimes,false
2026-049_a_22,4,Often,false
2026-049_a_22,5,Always,false
2026-049_a_23,1,"Yes, in the past week",false
2026-049_a_23,2,"Yes, in the past month",false
