question_id,option_id,option_label,weighted_share,weighted_percent,weighted_n,unweighted_n,is_missing,source_url
2026-049_a_1,1,Excellent,0.09624330976527726,9.62,96.24330976527676,90,false,https://reports.verasight.io/reports/sbm-2026#q-1-1
2026-049_a_1,2,Very good,0.303522230139117,30.35,303.52223013911544,311,false,https://reports.verasight.io/reports/sbm-2026#q-1-1
2026-049_a_1,3,Good,0.3912289486875161,39.12,391.2289486875141,392,false,https://reports.verasight.io/reports/sbm-2026#q-1-1
2026-049_a_1,4,Fair,0.18010627858164802,18.01,180.1062785816471,179,false,https://reports.verasight.io/reports/sbm-2026#q-1-1
2026-049_a_1,5,Poor,0.028899232826441534,2.89,28.899232826441384,28,false,https://reports.verasight.io/reports/sbm-2026#q-1-1
2026-049_a_10,1,"Personal health behaviors (e.g. diet, exercise, sleep, substance use, stress management)",0.5466128476779566,54.66,546.6128476779538,548,false,https://reports.verasight.io/reports/sbm-2026#q-1-10
2026-049_a_10,2,Access to healthcare,0.10875470254293661,10.88,108.75470254293604,119,false,https://reports.verasight.io/reports/sbm-2026#q-1-10
2026-049_a_10,3,Financial stability,0.12898287451612112,12.9,128.98287451612046,127,false,https://reports.verasight.io/reports/sbm-2026#q-1-10
2026-049_a_10,4,Social relationships and support,0.1043287643232704,10.43,104.32876432326987,99,false,https://reports.verasight.io/reports/sbm-2026#q-1-10
2026-049_a_10,5,"Physical environment (e.g., housing, neighborhood safety, etc.)",0.0630170717714257,6.3,63.01707177142538,62,false,https://reports.verasight.io/reports/sbm-2026#q-1-10
2026-049_a_10,6,Work or job conditions,0.026366768825901398,2.64,26.366768825901264,25,false,https://reports.verasight.io/reports/sbm-2026#q-1-10
2026-049_a_10,7,Other,0.02193697034238816,2.19,21.936970342388047,20,false,https://reports.verasight.io/reports/sbm-2026#q-1-10
2026-049_a_11,1,"No, and I do not intend to start regular physical activity in the next 6 months.",0.10496431226105526,10.5,104.96431226105473,112,false,https://reports.verasight.io/reports/sbm-2026#q-1-11
2026-049_a_11,2,"No, but I intend to start regular physical activity in the next 6 months.",0.12928715977616823,12.93,129.28715977616756,126,false,https://reports.verasight.io/reports/sbm-2026#q-1-11
2026-049_a_11,3,"No, but I intend to start regular physical activity in the next 30 days.",0.16118439961155356,16.12,161.18439961155275,165,false,https://reports.verasight.io/reports/sbm-2026#q-1-11
2026-049_a_11,4,"Yes, I have been, but for less than 6 months.",0.17225203749350096,17.23,172.25203749350007,160,false,https://reports.verasight.io/reports/sbm-2026#q-1-11
2026-049_a_11,5,"Yes, I have been for more than 6 months.",0.43231209085772193,43.23,432.31209085771974,437,false,https://reports.verasight.io/reports/sbm-2026#q-1-11
2026-049_a_12,1,0 Days,0.1692573271189697,16.93,169.25732711896885,175,false,https://reports.verasight.io/reports/sbm-2026#q-1-12
2026-049_a_12,2,1 Day,0.07413914867173754,7.41,74.13914867173716,73,false,https://reports.verasight.io/reports/sbm-2026#q-1-12
2026-049_a_12,3,2 Days,0.13794351745654182,13.79,137.94351745654112,135,false,https://reports.verasight.io/reports/sbm-2026#q-1-12
2026-049_a_12,4,3 Days,0.16451504518573057,16.45,164.51504518572972,162,false,https://reports.verasight.io/reports/sbm-2026#q-1-12
2026-049_a_12,5,4 Days,0.11829453678765038,11.83,118.29453678764978,116,false,https://reports.verasight.io/reports/sbm-2026#q-1-12
2026-049_a_12,6,5 Days,0.1259398327610011,12.59,125.93983276100046,130,false,https://reports.verasight.io/reports/sbm-2026#q-1-12
2026-049_a_12,7,6 Days,0.06480201670108675,6.48,64.80201670108642,69,false,https://reports.verasight.io/reports/sbm-2026#q-1-12
2026-049_a_12,8,7 Days,0.14510857531728208,14.51,145.10857531728135,140,false,https://reports.verasight.io/reports/sbm-2026#q-1-12
2026-049_a_13,1,Yes,0.23745768669640796,23.75,237.45768669640674,238,false,https://reports.verasight.io/reports/sbm-2026#q-1-13
2026-049_a_13,2,No,0.712373253213874,71.24,712.3732532138704,720,false,https://reports.verasight.io/reports/sbm-2026#q-1-13
2026-049_a_13,3,I don't know,0.05016906008971796,5.02,50.1690600897177,42,false,https://reports.verasight.io/reports/sbm-2026#q-1-13
2026-049_a_14,1,1- Poor,0.0458039479395867,4.58,45.803947939586465,44,false,https://reports.verasight.io/reports/sbm-2026#q-1-14
2026-049_a_14,2,2,0.12677405402386188,12.68,126.77405402386124,123,false,https://reports.verasight.io/reports/sbm-2026#q-1-14
2026-049_a_14,3,3,0.45022284707049787,45.02,450.22284707049556,446,false,https://reports.verasight.io/reports/sbm-2026#q-1-14
2026-049_a_14,4,4,0.30335190607463275,30.34,303.3519060746312,315,false,https://reports.verasight.io/reports/sbm-2026#q-1-14
2026-049_a_14,5,5- Great,0.07384724489142075,7.38,73.84724489142037,72,false,https://reports.verasight.io/reports/sbm-2026#q-1-14
2026-049_a_15,1,1- Strongly disagree,0.0705038470407594,7.05,70.50384704075904,72,false,https://reports.verasight.io/reports/sbm-2026#q-1-15
2026-049_a_15,2,2- Disagree,0.1146130882951527,11.46,114.61308829515211,121,false,https://reports.verasight.io/reports/sbm-2026#q-1-15
2026-049_a_15,3,3- Neither agree nor disagree,0.3078292782078637,30.78,307.82927820786216,306,false,https://reports.verasight.io/reports/sbm-2026#q-1-15
2026-049_a_15,4,4- Agree,0.3797197870385729,37.97,379.7197870385709,381,false,https://reports.verasight.io/reports/sbm-2026#q-1-15
2026-049_a_15,5,5- Strongly agree,0.12733399941765128,12.73,127.33399941765062,120,false,https://reports.verasight.io/reports/sbm-2026#q-1-15
2026-049_a_16,1,Never,0.1703459153640661,17.03,170.34591536406523,167,false,https://reports.verasight.io/reports/sbm-2026#q-1-16
2026-049_a_16,2,Rarely,0.3206632182512583,32.07,320.6632182512567,330,false,https://reports.verasight.io/reports/sbm-2026#q-1-16
2026-049_a_16,3,Sometimes,0.329138592090284,32.91,329.1385920902823,325,false,https://reports.verasight.io/reports/sbm-2026#q-1-16
2026-049_a_16,4,Often,0.11871642402646176,11.87,118.71642402646115,121,false,https://reports.verasight.io/reports/sbm-2026#q-1-16
2026-049_a_16,5,Always,0.061135850267929746,6.11,61.135850267929435,57,false,https://reports.verasight.io/reports/sbm-2026#q-1-16
2026-049_a_17,1,Lose weight,0.5415553466328215,54.16,541.5553466328187,557,false,https://reports.verasight.io/reports/sbm-2026#q-1-17
2026-049_a_17,2,Maintain your weight,0.29656192217478444,29.66,296.5619221747829,297,false,https://reports.verasight.io/reports/sbm-2026#q-1-17
2026-049_a_17,3,Gain weight,0.07364268441441543,7.36,73.64268441441506,63,false,https://reports.verasight.io/reports/sbm-2026#q-1-17
2026-049_a_17,4,Not pay attention to your weight,0.21029236252643135,21.03,210.29236252643028,204,false,https://reports.verasight.io/reports/sbm-2026#q-1-17
2026-049_a_18,1,Not at all,0.025110542410582203,2.51,25.110542410582074,21,false,https://reports.verasight.io/reports/sbm-2026#q-1-18
2026-049_a_18,2,Slightly,0.1095322322236999,10.95,109.53223222369934,118,false,https://reports.verasight.io/reports/sbm-2026#q-1-18
2026-049_a_18,3,Moderately,0.3924286097673197,39.24,392.4286097673177,394,false,https://reports.verasight.io/reports/sbm-2026#q-1-18
2026-049_a_18,4,A lot,0.2893481022770655,28.93,289.348102277064,288,false,https://reports.verasight.io/reports/sbm-2026#q-1-18
2026-049_a_18,5,Extremely,0.11838062815898537,11.84,118.38062815898476,120,false,https://reports.verasight.io/reports/sbm-2026#q-1-18
2026-049_a_18,6,I'm not sure,0.06519988516234727,6.52,65.19988516234694,59,false,https://reports.verasight.io/reports/sbm-2026#q-1-18
2026-049_a_19,1,0 nights per week,0.4737112269564011,47.37,473.71122695639866,484,false,https://reports.verasight.io/reports/sbm-2026#q-1-19
